,fandom,other_fandom,name,circle_code,event,circle_facebook,circle_instagram,circle_twitter,circle_other_socials,sampleworks_images,substring
864,HONKAI STAR RAIL,"GENSHIN IMPACT, ADVENTURE TIME, STEVEN UNIVERSE, VOCALOID, THE OWL HOUSE, MOB PSYCHO 100, SPIDERVERSE, CHAINSAW MAN, SPLATOON, OMORI",Mushed Avocado Salsa,J-08a,CF17,,https://www.instagram.com/p/C0AgT6lvE_X/?igshid=MzRlODBiNWFlZA==,,,,RE
880,HONKAI STAR RAIL,"GENSHIN IMPACT, OMNISCIENT READER'S VIEWPOINT, S CLASS, VTUBER",Mchii0 & Nekonekomii,J-18ab,CF17,,https://instagram.com/nekonekomii?igshid=NGExMmI2YTkyZg==,https://twitter.com/mchii?t=ON4DfYfm72IKNdqr2wdaA&s=9,,,RE
885,HONKAI STAR RAIL,"OMNISCIENT READER VIEWPOINT, BLUE LOCK",Sepur Mabur,J-23a,CF17,,https://www.instagram.com/heavenlyrosses/,https://twitter.com/heavenlyrosses,,,RE
895,HONKAI STAR RAIL,"ARKNIGHTS, FIRE EMBLEM, HONKAI STAR RAIL, JUJUTSU KAISEN, RESIDENT EVIL",Halusin Nasi,J-32ab,CF17,,,twitter.com/DEMETRIKANOJ0,,,RE
900,HONKAI STAR RAIL,"ADVENTURE TIME, ANIMANIACS, ARKNIGHTS, BOKU NO HERO ACADEMIA, COOKIE RUN, DEMON SLAYER, DORORO, DUCKTALES, GENSHIN IMPACT, GHIBLI, GUMBALL, HOLOLIVE, HONKAI STAR RAIL, JUJUTSU KAISEN, LOONEY TUNES, MOBILE LEGEND BANG BANG, MYSTIC MESSENGER, OC, OSHI NO KO, PARADOX LIVE, POKEMON, PUSS IN BOOTS, SONIC, SPIDERVERSE, SPY X FAMILY, TMNT, TOM & JERRY",Imagi,J-38ab,CF17,https://www.facebook.com/natashaintan.ventuslen,https://shorturl.at/iuFMQ,https://shorturl.at/eFIV1,,,RE
905,HONKAI STAR RAIL,"GENSHIN IMPACT, HONKAI STAR RAIL, DEBUT OR DIE, KPOP, SPIDERMAN, ENSTARS, JUJUTSU KAISEN, PROJECT SEKAI, RUNE FACTORY, OSHI NO KO, TOKYO MEW MEW, SHUGO CHARA, BUNGO STRAY DOGS, REVUE STARLIGHT, MOB PSYCHO 100",Kopichu,J-44ab,CF17,,https://www.instagram.com/kopichu_circle/,,,,RE
916,HONKAI STAR RAIL,"GENSHIN IMPACT, NIJISANJI, HOLOLIVE, RE, ENSEMBLE STARS, SPORTS ANIME (HAIKYUU, BLUELOCK, ETC)",NGjualan,J-54b,CF17,,https://instagram.com/hexa_manga/,,,,RE
923,HOYOVERSE,"PARADOX LIVE, HONKAI STAR RAIL, GENSHIN IMPACT, ORIGINAL, HETALIA, OMNISCIENT READER'S VIEWPOINT, MANHWA, PROJECT SEKAI, DEVIL MAY CRY, TEKKEN, LINK CLICK",Alstroemeria,K-02ab,CF17,,,https://twitter.com/Everyonepiece_/,,,RE
936,GENSHIN IMPACT,"HOLOSTARS, PLAVE, HUNTER X HUNTER, SACABAMBASPIS, ZELDA TOTK, PERSONA 5 ROYAL, FIRE EMBLEM THREE HOUSES",Penimbun Merch,K-13a (SAT),CF17,,,,,,RE
939,GENSHIN IMPACT,"HONKAI STAR RAIL, PLAVE, BUNGOU STRAY DOGS, SKETCH DANCE, OMNISCIENT READER'S VIEWPOINT (ORV), NARUTO, ORIGINAL, ALDNOAH ZERO",Bambangz Nostalgia,K-13ab (SUN),CF17,,,,,,RE
948,GENSHIN IMPACT,"ENSEMBLE STARS, DANGANRONPA, PROJECT SEKAI, REVERSE 1999",350dpi,K-16a (SUN),CF17,https://www.facebook.com/cheryl.callysta.73?mibextid=ZbWKwL,https://instagram.com/ivenith.a?igshid=MzRlODBiNWFlZA==,https://x.com/AiChii_Cleris?t=0xyB7k7NL6HAZwGbvkK9yA&s=09,,,RE
954,GENSHIN IMPACT,"RESIDENT EVIL, NEWJEANS, HSR, BARBIE, GHIBLI, SPIDERMAN SPIDERVERSE, DEATH NOTE, NCT DREAM, SCOTT PILGRIM, DIGITAL CIRCUS, NEEDY STREAMER OVERLOAD, MADOKA MAGICA, NEON GENESIS EVANGELION, DEMON SLAYER",Mini Maruketo,K-17ab (SUN),CF17,,https://www.instagram.com/minimaruketo/,,,,RE
958,GENSHIN IMPACT,"TSURUNE, HONKAI STARRAIL, CHAINSAW MAN, MOBILE SUIT GUNDAM : THE WITCH FROM MERCURY), DETECTIVE CONAN, SOUSOU NO FRIEREN, BOCCHI THE ROCK",Meowverse,K-18ab (SUN),CF17,,https://instagram.com/meowverse.circle,,,,RE
964,GENSHIN IMPACT,"ORIGINAL (CAT), HONKAI STAR RAIL, GHIBLI, ONE PIECE, OMNICENT READERS, SAIKI K, MON PSYCHO, JUJUTSU KAISEN, CHAINSAW MAN, VALORANT, BLUE ARCHIEVE",Lilzee studio,K-20ab (SAT),CF17,,https://instagram.com/zeefax_u?igshid=ZDc4ODBmNjlmNQ==,https://twitter.com/zeefax_u?t=Z1FA2gpPiX4lAkCvnI9y6w&s=9,,,RE
966,GENSHIN IMPACT,"GENSHIN IMPACT, OMNISCIENT READER VIEWPOINT, GHIBLI, SKY COTL, ORIGINAL",L.U.W.A.K,K-21ab (SAT),CF17,,https://www.instagram.com/luwak.circle/,https://twitter.com/tonkasoup,,,RE
967,GENSHIN IMPACT,"HONKAI: STAR RAIL, ENSEMBLE STARS, BLUE LOCK, OMNISCIENT READER'S VIEWPOINT, NIJISANJI EN, PROJECT SEKAI, CHAINSAW MAN",Millie's Antiques,K-21ab (SUN),CF17,,https://instagram.com/milliesantique?igshid=MzRlODBiNWFlZA==,https://twitter.com/milIiesantiques?t=ZxUpgfvgcTWwFvmV8aqw&s=9,,,RE
978,HONKAI: STAR RAIL,"GENSHIN IMPACT, HONKAI: STAR RAIL, TWISTED WONDERLAND, PROJECT SEKAI, OMNISCIENT READER’S VIEWPOINT, JUJUTSU KAISEN, CHAINSAW MAN",Shoe Wonderland,K-30b,CF17,,https://instagram.com/shoe_wonderland.cf?igshid=NGVhN2U2NjQ0Yg==,https://x.com/shoe_wonderland?s=21,,,RE
982,HONKAI: STAR RAIL,"ORIGINAL, COMMISION, HOYOVERSE, DANGANRONPA, VOCALOID, OMORI, SOUSOU NO FRIEREN, BLACK BUTLER, NIER AUTOMATA, FF14, NIJISANJI, SPIDER-VERSE, CAMPFIRE COOKING IN ANOTHER WORLD",RandomIN,K-36ab,CF17,,https://twitter.com/randomanin,https://www.instagram.com/randomin.studio/,,,RE
990,GENSHIN IMPACT,"HONKAI IMPACT, HONKAI : STAR RAIL, JOJO'S BIZARRE ADVENTURE, JUJUTSUKAISEN,ARKNIGHT, GENSHIN IMPACT, REVERSE:1999, OMYOJI, ORIGINAL CRAFT DSB",Pastel and Tea Party,K-42ab (SUN),CF17,,https://www.instagram.com/newpastelnteaparty/,,,,RE
